Transformation,Beer_3_Full1,batch1_Std_1_1,batch1_Std_1_2,batch1_Std_2_2,batch1_Std_2_1,Urine_37_fullscan1_NEG
[2M-H2O]-H[2C13],0.0003885003885,0.0,0.0,0.0,0.0,0.0
[M-H2O]+NH3-H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-H2O]+NH3-H[C13],0.002331002331,0.00170648464164,0.000570125427594,0.0,0.0,0.0
[M-CO]-H-H[2C13],0.0,0.0,0.000570125427594,0.0,0.0,0.0
[2M-H2O]-H[C13],0.0,0.0,0.0,0.0,0.0,0.0
[2M-CO2]-H[C13],0.0,0.0,0.0,0.0,0.0,0.000691085003455
[2M-CO2]-H[2C13],0.0,0.0,0.0,0.0,0.0,0.000345542501728
[M-CO2]-H-H[2C13],0.0,0.000568828213879,0.000570125427594,0.0,0.0,0.0
[2M-CO]-H[C13],0.0,0.0,0.0,0.0,0.0,0.0
[2M-CO]-H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-H2O]-H-H[2C13],0.000777000777001,0.0,0.0,0.0,0.0,0.000345542501728
