Transformation,Urine_37_fullscan1_POS,Beer_3_Full1,batch1_Std_1_1,batch1_Std_1_2,batch1_Std_2_2,batch1_Std_2_1
[M-H2O]+NH4[C13],0.0,0.00109739368999,0.0,0.0,0.00078125,0.000757002271007
[M-H2O]+NH4[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-CO]+H+CH3OH[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-H2O]+H+H[C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-CO]+CH2O2+H[C13],0.000838926174497,0.00137174211248,0.000872219799389,0.00049504950495,0.000390625,0.000378501135503
[M-CO]+ACN+H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-H2O]+H+CH3OH[2C13],0.0,0.000548696844993,0.0,0.0,0.0,0.0
[M-CO]+NH4[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[2M-CO]+H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-H2O]+H+CH3OH[C13],0.00279642058166,0.00246913580247,0.000436109899695,0.00049504950495,0.001171875,0.0
[2M-H2O]+H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-H2O]+CH2O2+H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-CO]+H+H[C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-CO]+ACN+H[C13],0.0,0.000548696844993,0.0,0.0,0.001171875,0.00113550340651
[M-H2O]+ACN+H[C13],0.000559284116331,0.00109739368999,0.0,0.0,0.0,0.0
[M-H2O]+H+H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[2M-H2O]+H[C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-H2O]+ACN+H[2C13],0.0,0.0,0.0,0.0,0.0,0.0
[2M-CO]+H[C13],0.0,0.0,0.0,0.0,0.0,0.0
[M-CO]+H+CH3OH[C13],0.000279642058166,0.0,0.0,0.0,0.0,0.000378501135503
[M-CO]+NH4[C13],0.0,0.0,0.0,0.0,0.001171875,0.0
